ollama-1  | 2026-09-07T12:18:18.565176545Z Couldn't find '/root/.ollama/id_ed25519'. Generating new private key.
ollama-1  | 2026-09-07T12:18:18.566687753Z Your new public key is: 
ollama-1  | 2026-09-07T12:18:18.566701420Z 
ollama-1  | 2026-09-07T12:18:18.566703212Z ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIMuIpvg9hx+bYvFJVHll2MlO4uRVIgLHS6BmV3U2EbEa
ollama-1  | 2026-09-07T12:18:18.566704170Z 
ollama-1  | 2026-09-07T12:18:18.574229712Z time=2026-09-07T12:18:18.572Z level=INFO source=routes.go:1961 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: LLAMA_ARG_FIT: LLAMA_ARG_FIT_TARGET: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_DEBUG_LOG_REQUESTS:false OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GO_TEMPLATE:true OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:11434 OLLAMA_IGPU_ENABLE: OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MAX_TRANSFER_STREAMS:4 OLLAMA_MODELS:/root/.ollama/models OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:true ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
ollama-1  | 2026-09-07T12:18:18.574245128Z time=2026-09-07T12:18:18.574Z level=INFO source=routes.go:1963 msg="Ollama cloud disabled: false"
ollama-1  | 2026-09-07T12:18:18.574703087Z time=2026-09-07T12:18:18.574Z level=INFO source=images.go:883 msg="total blobs: 0"
ollama-1  | 2026-09-07T12:18:18.574706378Z time=2026-09-07T12:18:18.574Z level=INFO source=images.go:890 msg="total unused blobs removed: 0"
ollama-1  | 2026-09-07T12:18:18.574906045Z time=2026-09-07T12:18:18.574Z level=INFO source=routes.go:2023 msg="Listening on [::]:11434 (version 0.31.1)"
ollama-1  | 2026-09-07T12:18:18.575975795Z time=2026-09-07T12:18:18.575Z level=INFO source=model_list_cache.go:111 msg="model list cache hydration complete" models=0 failures=0 elapsed=816.917µs
ollama-1  | 2026-09-07T12:18:18.590674378Z time=2026-09-07T12:18:18.590Z level=INFO source=runner.go:60 msg="discovering available GPUs..."
ollama-1  | 2026-09-07T12:18:18.751859087Z time=2026-09-07T12:18:18.751Z level=INFO source=types.go:50 msg="inference compute" id=cpu library=cpu compute="" name=cpu description=cpu libdirs=ollama driver="" pci_id="" type="" total="9.7 GiB" available="9.6 GiB"
ollama-1  | 2026-09-07T12:18:18.751879254Z time=2026-09-07T12:18:18.751Z level=INFO source=routes.go:2073 msg="vram-based default context" total_vram="0 B" default_num_ctx=4096
ollama-1  | 2026-09-07T12:18:19.053070420Z time=2026-09-07T12:18:19.053Z level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h19m29.85362233s consecutive_failures=0
ollama-1  | 2026-09-07T12:18:28.438398383Z [GIN] 2026/09/07 - 12:18:28 | 200 |     145.291µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:20:30.542907759Z [GIN] 2026/09/07 - 12:20:30 | 200 |        94.5µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:20:30.543223676Z [GIN] 2026/09/07 - 12:20:30 | 200 |     212.375µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:20:40.684665333Z [GIN] 2026/09/07 - 12:20:40 | 200 |      78.125µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:20:40.684932583Z [GIN] 2026/09/07 - 12:20:40 | 200 |     146.917µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:20:50.770905504Z [GIN] 2026/09/07 - 12:20:50 | 200 |      35.667µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:20:50.771149754Z [GIN] 2026/09/07 - 12:20:50 | 200 |     121.292µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:20:59.407622217Z time=2026-09-07T12:20:59.406Z level=INFO source=download.go:376 msg="633fc5be925f part 6 stalled; retrying. If this persists, press ctrl-c to exit, then 'ollama pull' to find a faster connection."
ollama-1  | 2026-09-07T12:21:00.835067509Z [GIN] 2026/09/07 - 12:21:00 | 200 |     114.208µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:21:00.835413093Z [GIN] 2026/09/07 - 12:21:00 | 200 |     190.333µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:21:10.913915416Z [GIN] 2026/09/07 - 12:21:10 | 200 |     770.958µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:21:10.916350416Z [GIN] 2026/09/07 - 12:21:10 | 200 |      1.9635ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:21:21.008323588Z [GIN] 2026/09/07 - 12:21:21 | 200 |      25.875µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:21:21.008855005Z [GIN] 2026/09/07 - 12:21:21 | 200 |     106.875µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:21:31.124425593Z [GIN] 2026/09/07 - 12:21:31 | 200 |       59.25µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:21:31.124700593Z [GIN] 2026/09/07 - 12:21:31 | 200 |     169.792µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:21:41.207778542Z [GIN] 2026/09/07 - 12:21:41 | 200 |      73.417µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:21:41.208108083Z [GIN] 2026/09/07 - 12:21:41 | 200 |     177.125µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:21:51.389845463Z [GIN] 2026/09/07 - 12:21:51 | 200 |      22.208µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:21:51.392366463Z [GIN] 2026/09/07 - 12:21:51 | 200 |      66.875µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:22:01.469453760Z [GIN] 2026/09/07 - 12:22:01 | 200 |      167.25µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:22:01.469858135Z [GIN] 2026/09/07 - 12:22:01 | 200 |     260.792µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:22:11.584831125Z [GIN] 2026/09/07 - 12:22:11 | 200 |     102.042µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:22:11.585598583Z [GIN] 2026/09/07 - 12:22:11 | 200 |     320.083µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:22:21.651548088Z [GIN] 2026/09/07 - 12:22:21 | 200 |     120.458µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:22:21.653160422Z [GIN] 2026/09/07 - 12:22:21 | 200 |     230.167µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:22:31.765791343Z [GIN] 2026/09/07 - 12:22:31 | 200 |      56.542µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:22:31.766320676Z [GIN] 2026/09/07 - 12:22:31 | 200 |     110.375µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:22:41.855609334Z [GIN] 2026/09/07 - 12:22:41 | 200 |     135.333µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:22:41.855973375Z [GIN] 2026/09/07 - 12:22:41 | 200 |      231.25µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:22:51.935807963Z [GIN] 2026/09/07 - 12:22:51 | 200 |     101.375µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:22:51.936028505Z [GIN] 2026/09/07 - 12:22:51 | 200 |     153.625µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:23:02.093346260Z [GIN] 2026/09/07 - 12:23:02 | 200 |      70.333µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:23:02.093609802Z [GIN] 2026/09/07 - 12:23:02 | 200 |      173.25µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:23:12.148221750Z [GIN] 2026/09/07 - 12:23:12 | 200 |          61µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:23:12.148635959Z [GIN] 2026/09/07 - 12:23:12 | 200 |     180.209µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:23:22.221650755Z [GIN] 2026/09/07 - 12:23:22 | 200 |      72.875µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:23:22.222048505Z [GIN] 2026/09/07 - 12:23:22 | 200 |     171.416µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:23:32.344044302Z [GIN] 2026/09/07 - 12:23:32 | 200 |      26.042µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:23:32.346019927Z [GIN] 2026/09/07 - 12:23:32 | 200 |      93.959µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:23:42.506330250Z [GIN] 2026/09/07 - 12:23:42 | 200 |     164.042µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:23:42.506723334Z [GIN] 2026/09/07 - 12:23:42 | 200 |     286.833µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:23:52.639261005Z [GIN] 2026/09/07 - 12:23:52 | 200 |      17.541µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:23:52.640238714Z [GIN] 2026/09/07 - 12:23:52 | 200 |     923.542µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:24:02.817355677Z [GIN] 2026/09/07 - 12:24:02 | 200 |      144.75µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:24:02.817772802Z [GIN] 2026/09/07 - 12:24:02 | 200 |         253µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:24:12.870341417Z [GIN] 2026/09/07 - 12:24:12 | 200 |       50.25µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:24:12.870663626Z [GIN] 2026/09/07 - 12:24:12 | 200 |     121.167µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:24:23.012380714Z [GIN] 2026/09/07 - 12:24:23 | 200 |      91.666µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:24:23.012992839Z [GIN] 2026/09/07 - 12:24:23 | 200 |     363.542µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:24:33.070271719Z [GIN] 2026/09/07 - 12:24:33 | 200 |        96.5µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:24:33.070623385Z [GIN] 2026/09/07 - 12:24:33 | 200 |      169.25µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:24:43.184358459Z [GIN] 2026/09/07 - 12:24:43 | 200 |          96µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:24:43.184623667Z [GIN] 2026/09/07 - 12:24:43 | 200 |     166.917µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:24:53.265217256Z [GIN] 2026/09/07 - 12:24:53 | 200 |      34.333µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:24:53.265514006Z [GIN] 2026/09/07 - 12:24:53 | 200 |     177.666µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:25:03.353273219Z [GIN] 2026/09/07 - 12:25:03 | 200 |     199.417µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:25:03.353866594Z [GIN] 2026/09/07 - 12:25:03 | 200 |     278.791µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:25:13.437228334Z [GIN] 2026/09/07 - 12:25:13 | 200 |     118.708µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:25:13.437660376Z [GIN] 2026/09/07 - 12:25:13 | 200 |     310.875µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:25:23.508978172Z [GIN] 2026/09/07 - 12:25:23 | 200 |       92.75µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:25:23.509549547Z [GIN] 2026/09/07 - 12:25:23 | 200 |         195µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:25:33.570165261Z [GIN] 2026/09/07 - 12:25:33 | 200 |      37.583µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:25:33.570571469Z [GIN] 2026/09/07 - 12:25:33 | 200 |     107.375µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:25:43.639560501Z [GIN] 2026/09/07 - 12:25:43 | 200 |     135.792µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:25:43.639983584Z [GIN] 2026/09/07 - 12:25:43 | 200 |       264.5µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:25:53.696124922Z [GIN] 2026/09/07 - 12:25:53 | 200 |      21.333µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:25:53.696447506Z [GIN] 2026/09/07 - 12:25:53 | 200 |      90.916µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:26:03.826319594Z [GIN] 2026/09/07 - 12:26:03 | 200 |     136.125µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:26:03.826629011Z [GIN] 2026/09/07 - 12:26:03 | 200 |     231.417µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:26:13.896471584Z [GIN] 2026/09/07 - 12:26:13 | 200 |     151.833µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:26:13.896915709Z [GIN] 2026/09/07 - 12:26:13 | 200 |     365.083µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:26:23.958861673Z [GIN] 2026/09/07 - 12:26:23 | 200 |      97.167µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:26:23.959214173Z [GIN] 2026/09/07 - 12:26:23 | 200 |     261.625µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:26:34.024441177Z [GIN] 2026/09/07 - 12:26:34 | 200 |     144.458µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:26:34.024939719Z [GIN] 2026/09/07 - 12:26:34 | 200 |     303.042µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:26:44.077766710Z [GIN] 2026/09/07 - 12:26:44 | 200 |     153.875µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:26:44.078085710Z [GIN] 2026/09/07 - 12:26:44 | 200 |     251.708µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:26:54.122884548Z [GIN] 2026/09/07 - 12:26:54 | 200 |     126.083µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:26:54.123242381Z [GIN] 2026/09/07 - 12:26:54 | 200 |     260.667µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:27:04.151246636Z [GIN] 2026/09/07 - 12:27:04 | 200 |      41.208µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:27:04.151642969Z [GIN] 2026/09/07 - 12:27:04 | 200 |     187.667µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:27:14.230294960Z [GIN] 2026/09/07 - 12:27:14 | 200 |       147.5µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:27:14.230865293Z [GIN] 2026/09/07 - 12:27:14 | 200 |     268.041µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:27:24.323783339Z [GIN] 2026/09/07 - 12:27:24 | 200 |     106.459µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:27:24.324198423Z [GIN] 2026/09/07 - 12:27:24 | 200 |     204.916µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:27:34.410883344Z [GIN] 2026/09/07 - 12:27:34 | 200 |     165.541µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:27:34.411217386Z [GIN] 2026/09/07 - 12:27:34 | 200 |     295.916µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:27:44.510126585Z [GIN] 2026/09/07 - 12:27:44 | 200 |     156.125µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:27:44.510985793Z [GIN] 2026/09/07 - 12:27:44 | 200 |     676.125µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:27:54.566571381Z [GIN] 2026/09/07 - 12:27:54 | 200 |     115.917µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:27:54.566859465Z [GIN] 2026/09/07 - 12:27:54 | 200 |     201.917µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:28:04.628810136Z [GIN] 2026/09/07 - 12:28:04 | 200 |          19µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:28:04.629076219Z [GIN] 2026/09/07 - 12:28:04 | 200 |     126.666µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:28:14.692870335Z [GIN] 2026/09/07 - 12:28:14 | 200 |     198.583µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:28:14.693694835Z [GIN] 2026/09/07 - 12:28:14 | 200 |       393.5µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:28:22.406160714Z time=2026-09-07T12:28:22.404Z level=INFO source=download.go:376 msg="633fc5be925f part 14 stalled; retrying. If this persists, press ctrl-c to exit, then 'ollama pull' to find a faster connection."
ollama-1  | 2026-09-07T12:28:24.749459590Z [GIN] 2026/09/07 - 12:28:24 | 200 |      47.833µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:28:24.749691090Z [GIN] 2026/09/07 - 12:28:24 | 200 |      77.291µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:28:34.811660511Z [GIN] 2026/09/07 - 12:28:34 | 200 |     144.917µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:28:34.812043886Z [GIN] 2026/09/07 - 12:28:34 | 200 |     248.833µs |       127.0.0.1 | GET      "/api/tags"
